"filename", "language", "Python", "JavaScript", "HTML", "PostCSS", "pip requirements", "JSON", "Markdown", "toml", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\static\css\output.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\carousel.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\infinite_scroll.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\list_page_filters.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\main.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\submit_shimmer.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Jlowe\Desktop\PlatPursuit\tailwind.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\base.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\index.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\monitoring.html", "HTML", 0, 0, 101, 0, 0, 0, 0, 0, 1, 6, 108
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\back_to_top.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\breadcrumb.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\footer.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\community-stats.html", "HTML", 0, 0, 85, 0, 0, 0, 0, 0, 2, 4, 91
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\events-list.html", "HTML", 0, 0, 78, 0, 0, 0, 0, 0, 2, 12, 92
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\featured-games.html", "HTML", 0, 0, 60, 0, 0, 0, 0, 0, 1, 1, 62
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\featured-profile.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\latest-platinums.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\latest-rares.html", "HTML", 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\playing-now.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\navbar.html", "HTML", 0, 0, 126, 0, 0, 0, 0, 0, 0, 7, 133
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\game_detail.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\game_list.html", "HTML", 0, 0, 135, 0, 0, 0, 0, 0, 0, 5, 140
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\game_detail_header.html", "HTML", 0, 0, 409, 0, 0, 0, 0, 0, 0, 9, 418
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\trophy_group_card.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 53
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\trophy_list.html", "HTML", 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_list\game_cards.html", "HTML", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100
