"filename", "language", "Python", "HTML", "pip requirements", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\profile_detail.html", "HTML", 0, 49, 0, 0, 0, 0, 2, 51
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\trophy_case.html", "HTML", 0, 72, 0, 0, 0, 0, 6, 78
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\admin.py", "Python", 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\apps.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\forms.py", "Python", 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\populate_concept_bg_urls.py", "Python", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\populate_concept_icons.py", "Python", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\populate_title_ids.py", "Python", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\recheck_badges.py", "Python", 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\seed_badges.py", "Python", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\management\commands\test_psn.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0039_profile_user_timezone.py", "Python", 460, 0, 0, 0, 0, 1, 6, 467
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0040_remove_profile_user_timezone.py", "Python", 11, 0, 0, 0, 0, 1, 6, 18
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0041_usertrophyselection.py", "Python", 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0042_alter_usertrophyselection_options_and_more.py", "Python", 15, 0, 0, 0, 0, 1, 6, 22
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0043_concept_guide_slug.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0044_userconceptrating.py", "Python", 87, 0, 0, 0, 0, 1, 6, 94
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0045_alter_userconceptrating_overall_rating.py", "Python", 19, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0046_badge_userbadge_userbadgeprogress_game_is_obtainable_and_more.py", "Python", 210, 0, 0, 0, 0, 1, 6, 217
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0047_rename_icon_url_badge_icon_badge_base_badge.py", "Python", 28, 0, 0, 0, 0, 1, 6, 35
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0048_remove_badge_base_badge.py", "Python", 11, 0, 0, 0, 0, 1, 6, 18
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0049_badge_base_badge.py", "Python", 20, 0, 0, 0, 0, 1, 6, 27
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0050_userbadgeprogress_required_concepts_and_more.py", "Python", 25, 0, 0, 0, 0, 1, 6, 32
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0051_badge_discord_role_id.py", "Python", 16, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0052_badge_display_series.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0053_badge_earned_count_badge_badge_earned_count_idx.py", "Python", 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0054_concept_release_date_and_more.py", "Python", 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0055_alter_game_concept.py", "Python", 19, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0056_featuredguide.py", "Python", 56, 0, 0, 0, 0, 1, 6, 63
